Dataset,Outcome,Subset,Method,N,Events,NRI,NRI (events),NRI (non-events),SE,p-value
eICU-CRD,Prolonged LOS (>7d),refit,Per$_{RI}$,"1,657",292,-0.0005,0.0068,-0.0073,nan,---
eICU-CRD,Prolonged LOS (>7d),refit,Cohen,"1,657",292,-0.0687,-0.0548,-0.0139,nan,---
eICU-CRD,Prolonged LOS (>7d),refit,Gaussian,"1,657",292,0.0230,0.0171,0.0059,nan,---
eICU-CRD,Prolonged LOS (>7d),refit,Trunc. Gaussian,"1,657",292,-0.0105,0.0137,-0.0242,nan,---
eICU-CRD,Prolonged LOS (>7d),refit,Empirical Bayes,"1,657",292,0.0257,0.0103,0.0154,nan,---
eICU-CRD,Prolonged LOS (>7d),refit,NORMA$_{RI}$,"1,657",292,0.0381,0.0205,0.0176,nan,---
eICU-CRD,Prolonged LOS (>7d),refit,NORMA | sex,"1,657",292,0.0618,0.0377,0.0242,nan,---
eICU-CRD,Prolonged LOS (>7d),refit,"NORMA | sex, age","1,657",292,0.0257,0.0103,0.0154,nan,---
eICU-CRD,Prolonged LOS (>7d),refit,"NORMA | sex, age, setting, analytes","1,657",292,-0.0044,-0.0205,0.0161,nan,---
eICU-CRD,Mortality,swap,Per$_{RI}$,"1,660",207,-0.0243,0.9227,-0.9470,0.0195,0.21
eICU-CRD,Mortality,swap,Cohen,"1,660",207,-0.0279,0.8502,-0.8782,0.0262,0.30
eICU-CRD,Mortality,swap,Gaussian,"1,660",207,-0.0801,0.6667,-0.7467,0.0337,0.02
eICU-CRD,Mortality,swap,Trunc. Gaussian,"1,660",207,-0.0187,0.9565,-0.9752,0.0145,0.21
eICU-CRD,Mortality,swap,Empirical Bayes,"1,660",207,-0.0850,0.3913,-0.4763,0.0355,0.02
eICU-CRD,Mortality,swap,NORMA$_{RI}$,"1,660",207,-0.0631,0.3285,-0.3916,0.0338,0.06
eICU-CRD,Mortality,swap,NORMA | sex,"1,660",207,-0.0340,0.3913,-0.4253,0.0352,0.32
eICU-CRD,Mortality,swap,"NORMA | sex, age","1,660",207,-0.0368,0.3768,-0.4136,0.0369,0.31
eICU-CRD,Mortality,swap,"NORMA | sex, age, setting, analytes","1,660",207,-0.0569,0.5700,-0.6270,0.0360,0.11
eICU-CRD,Acute Kidney Injury,swap,Per$_{RI}$,"1,657",238,-0.0333,0.9202,-0.9535,0.0184,0.07
eICU-CRD,Acute Kidney Injury,swap,Cohen,"1,657",238,0.0330,0.9034,-0.8703,0.0213,0.12
eICU-CRD,Acute Kidney Injury,swap,Gaussian,"1,657",238,-0.0060,0.7227,-0.7287,0.0299,0.81
eICU-CRD,Acute Kidney Injury,swap,Trunc. Gaussian,"1,657",238,-0.0040,0.9664,-0.9704,0.0128,0.76
eICU-CRD,Acute Kidney Injury,swap,Empirical Bayes,"1,657",238,-0.0205,0.4496,-0.4700,0.0334,0.56
eICU-CRD,Acute Kidney Injury,swap,NORMA$_{RI}$,"1,657",238,-0.0459,0.3529,-0.3989,0.0330,0.17
eICU-CRD,Acute Kidney Injury,swap,NORMA | sex,"1,657",238,-0.0013,0.4202,-0.4214,0.0351,0.98
eICU-CRD,Acute Kidney Injury,swap,"NORMA | sex, age","1,657",238,-0.0538,0.3782,-0.4320,0.0338,0.11
eICU-CRD,Acute Kidney Injury,swap,"NORMA | sex, age, setting, analytes","1,657",238,-0.0453,0.5798,-0.6251,0.0336,0.19
eICU-CRD,Sepsis,swap,Per$_{RI}$,"1,655",364,0.0051,0.9478,-0.9427,0.0132,0.71
eICU-CRD,Sepsis,swap,Cohen,"1,655",364,0.0250,0.9011,-0.8761,0.0184,0.17
eICU-CRD,Sepsis,swap,Gaussian,"1,655",364,-0.0093,0.7335,-0.7428,0.0265,0.73
eICU-CRD,Sepsis,swap,Trunc. Gaussian,"1,655",364,-0.0019,0.9725,-0.9744,0.0098,0.80
eICU-CRD,Sepsis,swap,Empirical Bayes,"1,655",364,0.0038,0.4615,-0.4578,0.0298,0.87
eICU-CRD,Sepsis,swap,NORMA$_{RI}$,"1,655",364,-0.0638,0.3352,-0.3989,0.0295,0.03
eICU-CRD,Sepsis,swap,NORMA | sex,"1,655",364,-0.0222,0.4038,-0.4260,0.0298,0.49
eICU-CRD,Sepsis,swap,"NORMA | sex, age","1,655",364,-0.0589,0.3764,-0.4353,0.0284,0.04
eICU-CRD,Sepsis,swap,"NORMA | sex, age, setting, analytes","1,655",364,-0.0084,0.5989,-0.6073,0.0300,0.82
eICU-CRD,Prolonged LOS (>7d),swap,Per$_{RI}$,"1,657",292,-0.0316,0.9178,-0.9495,0.0173,0.06
eICU-CRD,Prolonged LOS (>7d),swap,Cohen,"1,657",292,-0.0053,0.8767,-0.8821,0.0211,0.81
eICU-CRD,Prolonged LOS (>7d),swap,Gaussian,"1,657",292,-0.0530,0.6986,-0.7516,0.0284,0.06
eICU-CRD,Prolonged LOS (>7d),swap,Trunc. Gaussian,"1,657",292,-0.0032,0.9726,-0.9758,0.0101,0.73
eICU-CRD,Prolonged LOS (>7d),swap,Empirical Bayes,"1,657",292,0.0345,0.4932,-0.4586,0.0326,0.30
eICU-CRD,Prolonged LOS (>7d),swap,NORMA$_{RI}$,"1,657",292,-0.0458,0.3630,-0.4088,0.0310,0.14
eICU-CRD,Prolonged LOS (>7d),swap,NORMA | sex,"1,657",292,-0.0484,0.3904,-0.4388,0.0322,0.13
eICU-CRD,Prolonged LOS (>7d),swap,"NORMA | sex, age","1,657",292,-0.0418,0.4007,-0.4425,0.0310,0.17
eICU-CRD,Prolonged LOS (>7d),swap,"NORMA | sex, age, setting, analytes","1,657",292,-0.0119,0.6130,-0.6249,0.0308,0.68
CHS,---,---,---,---,---,---,---,---,---,---
INSPIRE,Mortality,refit,Per$_{RI}$,"1,690",22,0.0238,0.0909,-0.0671,nan,---
INSPIRE,Mortality,refit,Cohen,"1,690",22,-0.0330,0.0000,-0.0330,nan,---
INSPIRE,Mortality,refit,Gaussian,"1,690",22,-0.0354,0.0000,-0.0354,nan,---
INSPIRE,Mortality,refit,Trunc. Gaussian,"1,690",22,-0.0271,0.0455,-0.0725,nan,---
INSPIRE,Mortality,refit,Empirical Bayes,"1,690",22,-0.0252,0.0000,-0.0252,nan,---
INSPIRE,Mortality,refit,NORMA$_{RI}$,"1,690",22,-0.0682,-0.0455,-0.0228,nan,---
INSPIRE,Mortality,refit,NORMA | sex,"1,690",22,-0.0622,-0.0455,-0.0168,nan,---
INSPIRE,Mortality,refit,"NORMA | sex, age","1,690",22,-0.0258,0.0000,-0.0258,nan,---
INSPIRE,Mortality,refit,"NORMA | sex, age, setting, analytes","1,690",22,-0.0712,-0.0455,-0.0258,nan,---
INSPIRE,Prolonged LOS (>7d),refit,Per$_{RI}$,"1,690","1,272",0.0358,0.0047,0.0311,nan,---
INSPIRE,Prolonged LOS (>7d),refit,Cohen,"1,690","1,272",0.0206,0.0063,0.0144,nan,---
INSPIRE,Prolonged LOS (>7d),refit,Gaussian,"1,690","1,272",0.0520,-0.0102,0.0622,nan,---
INSPIRE,Prolonged LOS (>7d),refit,Trunc. Gaussian,"1,690","1,272",-0.0218,-0.0385,0.0167,nan,---
INSPIRE,Prolonged LOS (>7d),refit,Empirical Bayes,"1,690","1,272",0.0289,-0.0118,0.0407,nan,---
INSPIRE,Prolonged LOS (>7d),refit,NORMA$_{RI}$,"1,690","1,272",0.0204,0.0204,0.0000,nan,---
INSPIRE,Prolonged LOS (>7d),refit,NORMA | sex,"1,690","1,272",0.0325,0.0134,0.0191,nan,---
INSPIRE,Prolonged LOS (>7d),refit,"NORMA | sex, age","1,690","1,272",0.0159,0.0016,0.0144,nan,---
INSPIRE,Prolonged LOS (>7d),refit,"NORMA | sex, age, setting, analytes","1,690","1,272",0.0166,0.0071,0.0096,nan,---
INSPIRE,Unplanned ICU Admission,refit,Per$_{RI}$,"1,690",243,-0.0036,-0.0658,0.0622,nan,---
INSPIRE,Unplanned ICU Admission,refit,Cohen,"1,690",243,-0.0067,-0.0288,0.0221,nan,---
INSPIRE,Unplanned ICU Admission,refit,Gaussian,"1,690",243,-0.0212,-0.0329,0.0117,nan,---
INSPIRE,Unplanned ICU Admission,refit,Trunc. Gaussian,"1,690",243,-0.0121,-0.0453,0.0332,nan,---
INSPIRE,Unplanned ICU Admission,refit,Empirical Bayes,"1,690",243,-0.0048,0.0000,-0.0048,nan,---
INSPIRE,Unplanned ICU Admission,refit,NORMA$_{RI}$,"1,690",243,-0.0150,-0.0288,0.0138,nan,---
INSPIRE,Unplanned ICU Admission,refit,NORMA | sex,"1,690",243,0.0132,-0.0082,0.0214,nan,---
INSPIRE,Unplanned ICU Admission,refit,"NORMA | sex, age","1,690",243,-0.0122,-0.0288,0.0166,nan,---
INSPIRE,Unplanned ICU Admission,refit,"NORMA | sex, age, setting, analytes","1,690",243,0.0016,-0.0247,0.0263,nan,---
INSPIRE,Perioperative Infection,refit,Per$_{RI}$,"1,672",28,0.0686,0.1429,-0.0742,nan,---
INSPIRE,Perioperative Infection,refit,Cohen,"1,672",28,0.0179,0.0714,-0.0535,nan,---
INSPIRE,Perioperative Infection,refit,Gaussian,"1,672",28,-0.0832,-0.0357,-0.0474,nan,---
INSPIRE,Perioperative Infection,refit,Trunc. Gaussian,"1,672",28,-0.0760,0.0000,-0.0760,nan,---
INSPIRE,Perioperative Infection,refit,Empirical Bayes,"1,672",28,-0.0838,-0.0357,-0.0481,nan,---
INSPIRE,Perioperative Infection,refit,NORMA$_{RI}$,"1,672",28,-0.0322,0.0000,-0.0322,nan,---
INSPIRE,Perioperative Infection,refit,NORMA | sex,"1,672",28,-0.0856,-0.0357,-0.0499,nan,---
INSPIRE,Perioperative Infection,refit,"NORMA | sex, age","1,672",28,-0.0123,0.0357,-0.0481,nan,---
INSPIRE,Perioperative Infection,refit,"NORMA | sex, age, setting, analytes","1,672",28,-0.0789,-0.0357,-0.0432,nan,---
INSPIRE,Mortality,swap,Per$_{RI}$,"1,690",22,-0.0591,0.9091,-0.9682,0.0630,0.33
INSPIRE,Mortality,swap,Cohen,"1,690",22,0.1669,0.9091,-0.7422,0.0624,0.007
INSPIRE,Mortality,swap,Gaussian,"1,690",22,-0.1063,0.5909,-0.6972,0.1088,0.32
INSPIRE,Mortality,swap,Trunc. Gaussian,"1,690",22,-0.0411,0.9091,-0.9502,0.0610,0.55
INSPIRE,Mortality,swap,Empirical Bayes,"1,690",22,0.0222,0.5000,-0.4778,0.1123,0.86
INSPIRE,Mortality,swap,NORMA$_{RI}$,"1,690",22,-0.1370,0.3636,-0.5006,0.1057,0.20
INSPIRE,Mortality,swap,NORMA | sex,"1,690",22,-0.0736,0.4545,-0.5282,0.1081,0.50
INSPIRE,Mortality,swap,"NORMA | sex, age","1,690",22,-0.0844,0.4545,-0.5390,0.1080,0.45
INSPIRE,Mortality,swap,"NORMA | sex, age, setting, analytes","1,690",22,0.0453,0.5909,-0.5456,0.1095,0.70
INSPIRE,Prolonged LOS (>7d),swap,Per$_{RI}$,"1,690","1,272",-0.0273,0.9607,-0.9880,0.0076,$<$0.001
INSPIRE,Prolonged LOS (>7d),swap,Cohen,"1,690","1,272",-0.0145,0.7319,-0.7464,0.0247,0.58
INSPIRE,Prolonged LOS (>7d),swap,Gaussian,"1,690","1,272",-0.0621,0.7154,-0.7775,0.0244,0.01
INSPIRE,Prolonged LOS (>7d),swap,Trunc. Gaussian,"1,690","1,272",0.0054,0.9552,-0.9498,0.0120,0.67
INSPIRE,Prolonged LOS (>7d),swap,Empirical Bayes,"1,690","1,272",0.0263,0.5000,-0.4737,0.0295,0.36
INSPIRE,Prolonged LOS (>7d),swap,NORMA$_{RI}$,"1,690","1,272",-0.0720,0.4615,-0.5335,0.0288,0.01
INSPIRE,Prolonged LOS (>7d),swap,NORMA | sex,"1,690","1,272",-0.1027,0.4906,-0.5933,0.0281,$<$0.001
INSPIRE,Prolonged LOS (>7d),swap,"NORMA | sex, age","1,690","1,272",-0.1116,0.4961,-0.6077,0.0286,$<$0.001
INSPIRE,Prolonged LOS (>7d),swap,"NORMA | sex, age, setting, analytes","1,690","1,272",-0.0985,0.5307,-0.6292,0.0281,$<$0.001
INSPIRE,Unplanned ICU Admission,swap,Per$_{RI}$,"1,690",243,-0.0211,0.9547,-0.9758,0.0142,0.13
INSPIRE,Unplanned ICU Admission,swap,Cohen,"1,690",243,0.0204,0.7654,-0.7450,0.0289,0.49
INSPIRE,Unplanned ICU Admission,swap,Gaussian,"1,690",243,-0.0219,0.6996,-0.7215,0.0314,0.47
INSPIRE,Unplanned ICU Admission,swap,Trunc. Gaussian,"1,690",243,0.0031,0.9588,-0.9558,0.0140,0.85
INSPIRE,Unplanned ICU Admission,swap,Empirical Bayes,"1,690",243,-0.0305,0.4733,-0.5038,0.0356,0.36
INSPIRE,Unplanned ICU Admission,swap,NORMA$_{RI}$,"1,690",243,0.0896,0.5761,-0.4865,0.0343,0.01
INSPIRE,Unplanned ICU Admission,swap,NORMA | sex,"1,690",243,0.0983,0.6132,-0.5149,0.0336,0.004
INSPIRE,Unplanned ICU Admission,swap,"NORMA | sex, age","1,690",243,0.0866,0.6091,-0.5225,0.0344,0.01
INSPIRE,Unplanned ICU Admission,swap,"NORMA | sex, age, setting, analytes","1,690",243,0.0919,0.6337,-0.5418,0.0339,0.007
INSPIRE,Perioperative Infection,swap,Per$_{RI}$,"1,672",28,-0.0410,0.9286,-0.9696,0.0489,0.44
INSPIRE,Perioperative Infection,swap,Cohen,"1,672",28,0.0485,0.7857,-0.7372,0.0798,0.52
INSPIRE,Perioperative Infection,swap,Gaussian,"1,672",28,-0.1088,0.6071,-0.7159,0.0941,0.26
INSPIRE,Perioperative Infection,swap,Trunc. Gaussian,"1,672",28,-0.0185,0.9286,-0.9471,0.0498,0.75
INSPIRE,Perioperative Infection,swap,Empirical Bayes,"1,672",28,0.0830,0.5714,-0.4884,0.0955,0.35
INSPIRE,Perioperative Infection,swap,NORMA$_{RI}$,"1,672",28,0.1629,0.6429,-0.4799,0.0937,0.08
INSPIRE,Perioperative Infection,swap,NORMA | sex,"1,672",28,0.2088,0.7143,-0.5055,0.0875,0.02
INSPIRE,Perioperative Infection,swap,"NORMA | sex, age","1,672",28,0.1524,0.6786,-0.5262,0.0900,0.08
INSPIRE,Perioperative Infection,swap,"NORMA | sex, age, setting, analytes","1,672",28,0.1820,0.7143,-0.5322,0.0886,0.04
