split,analyte,n_patients,value_mean,value_std,time_span_mean,time_span_std,tests_per_person_mean,tests_per_person_std
index,A1C,107,6.4,1.15,664.4,617.8,4.7,3.6
index,ALB,525,3.27,0.9,501.1,722.6,10.7,12.3
index,ALP,487,117.8,62.6,509.2,698.7,10.3,11.8
index,ALT,497,35.33,25.27,544.3,794.4,11.6,14.3
index,AST,496,31.6,19.29,494.7,684.4,11.3,13.5
index,BUN,685,23.65,15.19,511.5,784.9,11.2,13.3
index,CA,701,8.81,0.73,476.7,750.8,12.3,14.8
index,CL,697,101.9,5.36,430.4,680.5,12.4,16.1
index,CO2,693,25.59,4.08,531.9,830.8,12.7,17.1
index,CRE,696,1.15,0.61,499.7,752.9,12.5,16.5
index,DBIL,114,0.31,0.29,527.4,917.6,5.1,3.5
index,GLU,702,125.5,41.45,548.2,879.9,13.3,17.9
index,HCT,742,32.21,6.85,550.2,869.0,13.7,19.6
index,HDL,101,56.13,17.65,808.3,623.7,4.2,3.0
index,HGB,751,10.62,2.27,472.2,776.5,12.6,16.5
index,K,721,4.21,0.57,538.2,846.0,14.0,17.7
index,LDL,48,86.86,31.96,790.4,647.6,5.6,4.4
index,MCH,693,30.24,2.78,453.0,753.9,12.8,16.0
index,MCHC,679,33.02,1.44,480.5,792.9,12.7,16.2
index,MCV,708,92.25,7.07,503.8,793.7,12.3,16.5
index,MPV,24,9.12,1.65,338.2,344.4,7.5,10.8
index,NA,692,137.32,4.47,482.6,772.9,13.8,18.0
index,PLT,692,187.95,108.82,519.9,813.9,13.0,18.2
index,RBC,702,3.51,0.81,466.4,773.0,13.5,18.1
index,RDW,718,16.32,2.96,539.9,870.8,12.6,15.3
index,TBIL,495,0.6,0.39,554.6,744.8,10.9,12.1
index,TC,122,170.53,41.99,847.6,753.8,4.9,4.2
index,TP,503,6.52,1.01,480.5,713.8,10.5,12.2
index,WBC,691,7.54,4.43,454.7,764.7,12.7,17.1
train,A1C,1222,6.36,1.22,1613.4,1617.0,7.2,10.6
train,ALB,2998,3.32,0.8,1722.1,1980.1,28.0,46.8
train,ALP,2944,113.62,59.3,1731.9,1991.5,26.7,43.4
train,ALT,2953,38.14,25.48,1727.7,1931.7,25.9,41.9
train,AST,2954,32.16,19.79,1762.8,2027.3,25.6,42.0
train,BUN,3626,23.36,15.36,1605.5,1951.3,34.9,57.7
train,CA,3614,8.76,0.7,1580.8,1929.2,33.9,56.9
train,CL,3621,102.4,4.96,1645.0,2015.0,34.1,57.5
train,CO2,3631,25.98,3.86,1601.7,1980.2,33.8,55.8
train,CRE,3613,1.11,0.54,1648.8,2023.2,33.4,55.2
train,DBIL,1000,0.33,0.31,1070.0,1667.5,9.8,13.6
train,GLU,3605,125.15,40.29,1550.4,1898.6,33.8,56.6
train,HCT,3829,32.24,6.81,1611.7,2009.7,33.6,56.6
train,HDL,1084,53.72,17.38,2169.9,2115.5,7.3,8.9
train,HGB,3758,10.74,2.29,1629.9,2038.7,32.9,57.7
train,K,3665,4.13,0.54,1595.8,1966.5,37.9,67.6
train,LDL,575,92.94,33.86,2175.3,2030.4,6.8,9.0
train,MCH,3706,30.45,2.66,1630.9,2027.1,32.9,57.8
train,MCHC,3722,33.22,1.35,1649.5,2030.7,33.3,56.7
train,MCV,3713,91.48,6.92,1574.4,1990.2,33.2,57.2
train,MPV,260,9.77,1.56,920.5,738.2,11.3,14.4
train,NA,3635,137.41,4.2,1647.3,2001.7,35.1,57.2
train,PLT,3724,198.75,110.91,1612.6,2005.7,33.0,57.8
train,RBC,3719,3.55,0.78,1617.8,2019.2,32.6,55.7
train,RDW,3720,16.13,2.87,1566.6,1969.4,32.1,56.1
train,TBIL,2918,0.64,0.42,1741.1,1966.4,25.7,43.0
train,TC,1145,172.96,45.51,2218.4,2150.1,8.4,11.7
train,TGL,3,180.62,108.53,737.3,545.1,2.7,0.6
train,TP,2949,6.6,0.99,1682.4,1910.2,26.9,44.1
train,WBC,3741,7.83,4.62,1638.7,2022.7,33.0,57.1
val,A1C,174,6.3,1.08,1736.5,1789.2,7.2,11.2
val,ALB,428,3.18,0.83,1759.6,2013.0,26.2,45.9
val,ALP,421,114.62,62.51,1761.3,2039.9,25.0,41.3
val,ALT,422,35.93,23.41,1617.6,1894.2,24.7,41.3
val,AST,422,31.08,18.26,1807.1,2000.0,27.0,47.6
val,BUN,518,22.38,15.09,1775.9,2220.3,31.4,50.6
val,CA,516,8.8,0.73,1709.6,2094.3,34.7,64.7
val,CL,517,102.67,4.93,1664.9,2054.8,33.6,51.1
val,CO2,519,25.86,3.72,1632.9,2072.8,36.1,56.5
val,CRE,516,1.14,0.57,1584.3,1938.3,35.4,57.9
val,DBIL,143,0.4,0.36,1083.3,1607.6,12.0,14.0
val,GLU,515,123.32,37.46,1566.5,1954.2,35.5,54.8
val,HCT,547,32.02,6.57,1555.3,1989.3,38.5,73.6
val,HDL,155,52.16,15.68,2088.6,1877.2,6.7,8.5
val,HGB,537,10.74,2.27,1564.8,1979.8,33.3,56.9
val,K,524,4.13,0.53,1625.9,2020.6,40.1,74.6
val,LDL,82,100.24,34.88,1714.8,1549.1,4.7,3.1
val,MCH,529,30.47,2.41,1642.0,2051.7,32.4,55.4
val,MCHC,532,33.24,1.33,1573.1,1970.5,33.2,60.8
val,MCV,530,91.38,6.92,1558.4,1949.7,33.7,56.8
val,MPV,37,9.62,1.66,879.2,803.7,14.3,20.3
val,NA,519,137.45,4.25,1362.5,1825.4,34.3,67.2
val,PLT,532,206.35,113.83,1742.6,2136.3,33.2,48.2
val,RBC,531,3.61,0.79,1665.9,2004.0,34.2,60.8
val,RDW,532,16.12,2.83,1864.5,2209.6,36.4,61.0
val,TBIL,417,0.68,0.44,1651.1,1854.7,24.9,39.9
val,TC,163,168.75,43.26,1843.2,1832.9,7.7,12.6
val,TP,421,6.57,0.96,1755.8,2005.7,24.5,38.8
val,WBC,535,7.63,4.55,1646.2,2071.5,30.5,49.7
test,A1C,349,6.34,1.19,1576.8,1669.3,7.5,10.3
test,ALB,856,3.27,0.8,1642.1,1884.1,26.8,42.6
test,ALP,841,107.1,54.67,1624.2,1860.8,24.5,40.1
test,ALT,844,37.43,25.07,1737.0,2011.4,28.0,48.4
test,AST,844,31.25,19.05,1654.9,1863.3,27.0,45.8
test,BUN,1036,22.13,14.68,1597.3,2015.9,29.8,47.1
test,CA,1032,8.74,0.71,1579.6,2009.8,33.7,53.0
test,CL,1034,102.38,5.09,1494.5,1838.4,33.6,56.7
test,CO2,1037,25.8,3.86,1643.6,1983.9,34.3,59.8
test,CRE,1032,1.11,0.55,1607.7,1971.4,34.1,58.3
test,DBIL,286,0.33,0.33,1114.4,1758.2,9.5,11.7
test,GLU,1030,124.73,39.79,1635.3,1981.8,36.4,63.1
test,HCT,1094,32.14,6.67,1693.9,2061.7,37.3,68.7
test,HDL,310,53.88,18.55,2249.1,2135.7,7.3,9.0
test,HGB,1074,10.63,2.23,1571.6,1979.0,35.2,58.8
test,K,1047,4.17,0.56,1757.4,2111.8,38.8,63.2
test,LDL,164,98.95,37.32,2232.8,1956.1,8.4,12.3
test,MCH,1059,30.32,2.71,1537.1,1967.7,33.8,56.1
test,MCHC,1063,33.31,1.37,1526.5,1992.4,32.9,56.2
test,MCV,1061,91.67,6.87,1794.7,2137.4,32.9,57.6
test,MPV,74,9.12,1.67,918.0,724.6,11.7,27.0
test,NA,1039,137.55,4.25,1661.0,2037.4,37.2,63.2
test,PLT,1064,191.31,111.35,1568.4,1968.1,34.2,62.7
test,RBC,1062,3.51,0.78,1592.9,2016.8,36.0,63.3
test,RDW,1063,16.16,2.84,1668.7,2072.8,34.1,54.5
test,TBIL,834,0.63,0.4,1757.9,2062.7,26.5,42.0
test,TC,327,177.45,43.85,2289.1,2112.4,8.8,12.7
test,TGL,1,106.0,2.83,168.0,,2.0,
test,TP,843,6.64,0.98,1681.3,1992.6,25.6,41.9
test,WBC,1069,7.79,4.66,1534.5,1948.0,33.2,59.0
