split,analyte,n_patients,value_mean,value_std,time_span_mean,time_span_std,tests_per_person_mean,tests_per_person_std
train,PLT,113615,229.06,113.17,957.4,1307.1,12.0,19.8
train,RBC,113277,3.72,0.81,957.0,1308.1,11.9,19.2
train,RDW,113148,15.15,2.39,958.0,1306.5,11.8,19.2
train,TBIL,51102,0.67,0.56,968.2,1260.2,8.3,14.4
train,TC,34834,187.47,44.51,1679.7,1394.4,5.1,4.3
train,TGL,33911,139.89,77.35,1605.7,1387.5,4.9,4.1
train,TP,13071,6.99,0.72,1164.1,1195.2,3.9,3.5
train,WBC,115004,7.7,3.96,956.7,1308.6,12.2,19.8
val,A1C,4000,6.51,1.28,1571.3,1364.9,5.5,5.4
val,ALB,5522,3.74,0.77,1039.0,1285.8,7.9,13.2
val,ALP,7893,107.13,58.06,1006.2,1264.9,8.5,14.3
val,ALT,9260,30.11,21.97,1151.8,1351.2,9.0,15.6
val,AST,9064,32.67,21.29,1138.9,1346.8,8.9,14.7
val,BUN,15333,22.16,14.31,948.1,1317.7,12.6,20.2
val,CA,12148,8.83,0.74,820.5,1223.6,11.9,19.1
val,CL,14830,101.75,5.2,931.8,1300.6,13.0,23.1
val,CO2,14539,25.62,4.14,905.3,1290.2,13.1,23.3
val,CRE,15604,1.08,0.55,976.1,1322.8,12.5,19.7
val,DBIL,664,0.65,0.85,625.3,838.9,4.3,4.2
val,GLU,14720,119.0,40.9,889.0,1267.0,11.4,18.7
val,HCT,16490,33.51,6.83,952.1,1298.7,12.1,19.3
val,HDL,4901,55.45,17.54,1673.0,1389.6,5.0,4.2
val,HGB,16217,10.94,2.35,968.8,1320.2,11.9,19.6
val,K,15033,4.17,0.54,921.4,1291.3,13.1,22.4
val,LDL,4869,103.57,37.67,1688.7,1369.8,5.0,4.1
val,MCH,16167,29.69,2.81,949.3,1299.4,11.9,19.5
val,MCHC,16181,32.57,1.6,965.4,1303.2,11.9,19.0
val,MCV,16166,91.22,7.29,964.9,1321.7,12.0,20.1
val,NA,14930,138.71,4.18,934.3,1298.1,13.1,22.3
val,PLT,16231,228.01,112.6,986.0,1322.1,12.0,19.5
val,RBC,16183,3.72,0.81,970.3,1315.3,12.3,20.7
val,RDW,16164,15.16,2.41,955.0,1313.0,11.9,19.7
val,TBIL,7300,0.67,0.57,999.4,1288.5,8.4,14.0
val,TC,4976,186.99,44.88,1658.2,1384.7,5.0,4.2
val,TGL,4845,140.94,76.93,1591.5,1381.0,4.9,4.1
val,TP,1867,6.99,0.74,1151.2,1189.1,3.8,3.6
val,WBC,16429,7.73,3.97,957.8,1317.9,12.0,18.8
test,A1C,7999,6.54,1.3,1562.4,1350.7,5.4,5.3
test,ALB,11044,3.74,0.77,1026.1,1274.8,7.8,13.4
test,ALP,15786,108.07,59.64,999.5,1271.8,8.4,14.7
test,ALT,18520,30.2,22.01,1141.3,1346.3,8.7,13.9
test,AST,18128,32.62,21.51,1126.1,1349.6,8.8,14.3
test,BUN,30666,22.4,14.28,967.1,1314.8,12.9,21.0
test,CA,24296,8.84,0.73,829.1,1226.3,11.9,20.7
test,CL,29661,101.79,5.24,922.3,1292.5,12.9,21.7
test,CO2,29077,25.62,4.14,913.7,1292.1,12.8,21.1
test,CRE,31209,1.07,0.55,962.7,1310.8,12.6,20.2
test,DBIL,1327,0.72,0.9,624.8,851.2,4.3,4.4
test,GLU,29439,118.29,40.2,890.5,1268.6,11.3,19.1
test,HCT,32981,33.59,6.79,956.3,1308.5,12.1,18.8
test,HDL,9802,55.89,17.69,1680.2,1387.6,5.1,4.3
test,HGB,32434,10.98,2.34,955.2,1305.0,11.9,19.2
test,K,30067,4.17,0.54,930.6,1304.5,13.0,21.0
test,LDL,9738,104.32,38.02,1691.6,1389.8,5.1,4.2
test,MCH,32334,29.73,2.78,955.9,1309.0,11.9,19.6
test,MCHC,32361,32.58,1.61,960.0,1311.0,11.8,18.8
test,MCV,32332,91.26,7.33,960.5,1309.7,11.9,19.2
test,NA,29860,138.75,4.18,941.7,1317.2,13.1,21.9
test,PLT,32462,231.05,113.88,955.8,1306.6,11.9,19.7
test,RBC,32365,3.72,0.8,952.0,1301.7,11.8,18.8
test,RDW,32328,15.12,2.37,958.0,1309.4,11.8,18.6
test,TBIL,14600,0.68,0.57,962.1,1249.6,8.5,16.0
test,TC,9952,187.83,45.03,1664.2,1388.0,5.1,4.2
test,TGL,9689,141.7,78.51,1608.1,1397.9,4.9,4.2
test,TP,3735,6.99,0.71,1158.5,1186.4,3.9,3.4
test,WBC,32858,7.73,3.97,958.7,1307.6,12.2,19.8
